lat,lon,height
45.35014024,-75.65491102,0.000
45.35014409,-75.65490913,0.000
45.33139189,-75.65161041,0.000
45.3576564,-75.66193708,0.000
45.36482929,-75.6652405,0.000
45.3649835,-75.66533413,0.000
45.36444918,-75.66503121,0.000
45.37712633,-75.68399189,0.000
45.35078085,-75.65526002,0.000
45.35101665,-75.65540164,0.000
45.34972964,-75.65473323,0.000
45.3509618,-75.65537891,0.000
45.34980496,-75.65475673,0.000
45.37239537,-75.68001673,0.000
45.37249058,-75.68033941,0.000
45.37351947,-75.68192177,0.000
45.33234228,-75.65125503,0.000
45.33164558,-75.65146904,0.000
45.33190297,-75.65139239,0.000
45.33261505,-75.65118348,0.000
45.3358012,-75.65167038,0.000
45.33167606,-75.65151246,0.000
45.33146551,-75.65157214,0.000
45.36901835,-75.66991736,0.000
45.36815075,-75.66842818,0.000
45.36759773,-75.66772396,0.000
45.36688247,-75.66689107,0.000
45.34948491,-75.65499756,0.000
45.33135899,-75.65162706,0.000
45.37761719,-75.68418613,0.000
45.37366328,-75.68420828,0.000
45.36902541,-75.66663801,0.000
45.28438143,-75.87389358,0.000
45.28374095,-75.87359222,0.000
45.28048691,-75.86794335,0.000
45.33999917,-75.6350817,0.000
45.31565455,-75.59910396,0.000
45.31597755,-75.59824969,0.000
45.36343977,-75.75336134,0.000
45.27659946,-75.75089771,0.000
45.41994759,-75.70028975,0.000
45.41994255,-75.70029796,0.000
45.41996577,-75.70030659,0.000
45.41994765,-75.70029394,0.000
45.41994761,-75.70029404,0.000
45.4174743,-75.70599531,0.000
45.41747041,-75.70600319,0.000
45.41285535,-75.71262525,0.000
45.41286131,-75.71261663,0.000
45.4128554,-75.7126338,0.000
45.41285064,-75.712615,0.000
45.41286119,-75.71259954,0.000
45.41286348,-75.7126326,0.000
45.41286764,-75.71260871,0.000
45.41286125,-75.71260808,0.000
45.41286348,-75.71262087,0.000
45.41287346,-75.71263355,0.000
45.41285064,-75.712615,0.000
45.4128714,-75.71261117,0.000
45.41286133,-75.7126209,0.000
45.41285114,-75.71261145,0.000
45.41286744,-75.71263363,0.000
45.4128734,-75.712625,0.000
45.4128714,-75.71261117,0.000
45.4128549,-75.71261494,0.000
45.4144115,-75.71007653,0.000
45.41635506,-75.70859429,0.000
45.41595243,-75.7089322,0.000
45.41593431,-75.70892391,0.000
45.41594641,-75.70893229,0.000
45.41595098,-75.7089244,0.000
45.42249724,-75.69431162,0.000
45.42250326,-75.69431153,0.000
45.42248738,-75.69430905,0.000
45.42249826,-75.69432083,0.000
45.42250939,-75.69432854,0.000
45.42249602,-75.6942963,0.000
45.42249727,-75.69431589,0.000
45.42249527,-75.69431544,0.000
45.42250326,-75.69431153,0.000
45.42249532,-75.69432087,0.000
45.4225032,-75.69430299,0.000
45.41369191,-75.71071835,0.000
45.41369187,-75.71071225,0.000
45.41369737,-75.71070869,0.000
45.41370005,-75.71071397,0.000
45.41903573,-75.70240895,0.000
45.41903268,-75.70242385,0.000
45.4190325,-75.70239821,0.000
45.41813896,-75.7044587,0.000
45.41815307,-75.70445067,0.000
45.42163714,-75.69636664,0.000
45.42163473,-75.69636003,0.000
45.42162984,-75.69636437,0.000
45.42164125,-75.69640727,0.000
45.42162336,-75.69636019,0.000
45.42080664,-75.6983198,0.000
45.42080032,-75.69833909,0.000
45.42081318,-75.6983328,0.000
45.42080666,-75.69832251,0.000
45.4208047,-75.69833258,0.000
45.42082357,-75.69832655,0.000
45.41348499,-75.71126646,0.000
45.41143964,-75.7160707,0.000
45.4114393,-75.71606027,0.000
45.41142124,-75.71606052,0.000
45.41144034,-75.71608143,0.000
45.41144259,-75.71604256,0.000
45.41143328,-75.71606035,0.000
45.42072348,-75.69847754,0.000
45.41763351,-75.70557252,0.000
45.41779612,-75.70525133,0.000
45.41718601,-75.70664685,0.000
45.41725024,-75.70654196,0.000
45.41723656,-75.70648402,0.000
45.41732652,-75.70632452,0.000
45.41127324,-75.71642149,0.000
45.41980287,-75.70063642,0.000
45.41955105,-75.70120117,0.000
45.41339502,-75.71145549,0.000
45.41878153,-75.70294814,0.000
45.42172927,-75.69613274,0.000
45.42186747,-75.69582082,0.000
45.41197405,-75.71488505,0.000
45.4091987,-75.72161605,0.000
45.40864478,-75.7225697,0.000
45.41398097,-75.71042803,0.000
45.41372472,-75.71064503,0.000
45.35389551,-75.64300859,0.000
45.35388202,-75.64301307,0.000
45.3538895,-75.64301871,0.000
45.35389546,-75.64300191,0.000
45.35389224,-75.64302249,0.000
45.35389564,-75.64302566,0.000
45.35390755,-75.64300841,0.000
45.3538895,-75.64300868,0.000
45.35038011,-75.6410197,0.000
45.35037415,-75.64102833,0.000
45.35876161,-75.64575323,0.000
45.35291986,-75.64248308,0.000
45.30941799,-75.61737035,0.000
45.34548598,-75.63821287,0.000
45.37213043,-75.6532948,0.000
45.35562179,-75.64399076,0.000
45.3556159,-75.64400793,0.000
45.35562186,-75.6439993,0.000
45.35561544,-75.64399513,0.000
45.35562179,-75.64399076,0.000
45.3556159,-75.64400793,0.000
45.36380745,-75.64850788,0.000
45.33766678,-75.63371786,0.000
45.3376456,-75.63372041,0.000
45.33764265,-75.63370969,0.000
45.33765683,-75.6337113,0.000
45.33765856,-75.63370404,0.000
45.34479289,-75.63783551,0.000
45.26959339,-75.59380779,0.000
45.26960805,-75.59381143,0.000
45.26960806,-75.5938042,0.000
45.26960839,-75.59386718,0.000
45.26959984,-75.59380376,0.000
45.26959714,-75.59381586,0.000
45.26960206,-75.59381579,0.000
45.26962101,-75.59384891,0.000
45.26960003,-75.59382788,0.000
45.26960409,-75.59380369,0.000
45.26959999,-75.59381007,0.000
45.26960411,-75.59380357,0.000
45.26960846,-75.59380959,0.000
45.26959981,-75.59380364,0.000
45.26959108,-75.59383169,0.000
45.26960944,-75.59382258,0.000
