Station,utm_e,utm_n,height,utm_z
230,366582.40384,5030724.02919,0,ON-9
231,371947.06235,5024129.49940,0,ON-9
232,371946.72790,5024127.99564,0,ON-9
233,371946.27694,5024128.82296,0,ON-9
234,371947.58627,5024129.49940,0,ON-9
235,371945.97743,5024129.12417,0,ON-9
236,371945.72456,5024129.49940,0,ON-9
237,371947.06235,5024130.83719,0,ON-9
238,371947.06235,5024128.83050,0,ON-9
239,372107.06325,5023740.50180,0,ON-9
240,372106.39435,5023739.83290,0,ON-9
241,371726.27745,5024667.97165,0,ON-9
242,371989.39195,5024021.51549,0,ON-9
243,374010.02490,5019208.54300,0,ON-9
244,372332.81765,5023198.98048,0,ON-9
245,371119.80747,5026147.37627,0,ON-9
246,371868.06815,5024320.51780,0,ON-9
247,371866.73036,5024319.84890,0,ON-9
248,371867.39925,5024320.51780,0,ON-9
249,371867.73370,5024319.80774,0,ON-9
250,371868.06815,5024320.51780,0,ON-9
251,371866.73036,5024319.84890,0,ON-9
252,371504.53361,5025226.41746,0,ON-9
253,372694.40875,5022333.83369,0,ON-9
254,372694.23370,5022331.47690,0,ON-9
255,372695.07765,5022331.15811,0,ON-9
256,372694.93465,5022332.73350,0,ON-9
257,372695.50100,5022332.93147,0,ON-9
258,372363.21347,5023122.27551,0,ON-9
259,375907.39206,5014803.49216,0,ON-9
260,375907.08855,5014805.11800,0,ON-9
261,375907.65602,5014805.12554,0,ON-9
262,375902.71309,5014805.10726,0,ON-9
263,375907.70085,5014804.21241,0,ON-9
264,375906.75410,5014803.90265,0,ON-9
265,375906.75410,5014804.44910,0,ON-9
266,375904.13105,5014806.52522,0,ON-9
267,375905.80735,5014804.21241,0,ON-9
268,375907.70085,5014804.68579,0,ON-9
269,375907.20506,5014804.22362,0,ON-9
270,375907.70989,5014804.68805,0,ON-9
271,375907.23200,5014805.16595,0,ON-9
272,375907.70989,5014804.21015,0,ON-9
273,375905.51953,5014803.21453,0,ON-9
274,375906.21136,5014805.26321,0,ON-9
275,375906.21136,5014805.26321,0,ON-9
276,375907.75744,5014804.44910,0,ON-9
277,375907.08855,5014804.44910,0,ON-9
278,375906.41965,5014805.78689,0,ON-9
279,375092.75220,5016675.36196,0,ON-9
280,375095.62478,5016668.83606,0,ON-9
281,375093.50267,5016674.83493,0,ON-9
282,375085.30296,5016667.34584,0,ON-9
283,371818.07586,5024441.90417,0,ON-9
284,372293.11708,5023293.26453,0,ON-9
285,375036.23046,5016797.53662,0,ON-9
286,374719.82615,5017529.73202,0,ON-9
287,371942.24072,5024141.03786,0,ON-9
288,371951.07573,5024115.45258,0,ON-9
289,374027.08176,5019165.06474,0,ON-9
290,373998.31921,5019236.63665,0,ON-9
291,374528.42129,5017980.84408,0,ON-9
292,374204.28748,5018734.97490,0,ON-9
293,373885.43848,5019496.12383,0,ON-9
294,374669.15830,5017633.84762,0,ON-9
295,375853.95043,5014924.92040,0,ON-9
296,375888.10035,5014855.19767,0,ON-9
297,373041.23175,5021500.57278,0,ON-9
298,372750.65718,5022197.48993,0,ON-9
299,372733.08640,5022241.37164,0,ON-9
300,372754.53938,5022194.39148,0,ON-9
301,372772.00073,5022147.21162,0,ON-9
302,372773.33852,5022149.88720,0,ON-9
303,373394.41014,5020648.75639,0,ON-9
304,372772.13748,5022146.89967,0,ON-9
305,375543.83778,5015640.05478,0,ON-9
306,375489.62799,5015757.94120,0,ON-9
307,375287.67309,5016226.74678,0,ON-9
308,371033.49169,5026354.60091,0,ON-9
309,371035.16895,5026354.79712,0,ON-9
310,371033.12626,5026353.49666,0,ON-9
311,371033.26090,5026354.97190,0,ON-9
312,371035.12327,5026355.62154,0,ON-9
313,371034.31332,5026355.31446,0,ON-9
314,349190.01829,5013423.70905,0,ON-9
315,394763.19955,5024415.45700,0,ON-9
316,353286.16644,5017353.71657,0,ON-9
317,364428.36405,5022642.49580,0,ON-9
318,377677.75366,5014172.77579,0,ON-9
319,377679.23490,5014171.19905,0,ON-9
320,362738.05325,5015114.16947,0,ON-9
321,371305.93171,5021353.25395,0,ON-9
322,371310.87086,5021357.05740,0,ON-9
323,371305.71787,5021355.17235,0,ON-9
324,371308.85878,5021353.78410,0,ON-9
325,371307.15759,5021354.09812,0,ON-9
326,371306.59759,5021356.28131,0,ON-9
327,371306.16506,5021355.13825,0,ON-9
328,371307.04225,5021353.11250,0,ON-9
